iter	Passed	Remaining
401	15806	3853
402	15842	3813
403	15878	3773
404	15914	3733
405	15951	3693
406	16000	3656
407	16047	3618
408	16083	3578
409	16123	3539
410	16162	3499
411	16198	3459
412	16235	3420
413	16274	3380
414	16311	3341
415	16348	3301
416	16384	3261
417	16421	3221
418	16457	3181
419	16493	3141
420	16529	3101
421	16574	3063
422	16621	3025
423	16657	2985
424	16694	2946
425	16730	2906
426	16767	2866
427	16804	2826
428	16841	2787
429	16878	2747
430	16914	2707
431	16950	2668
432	16996	2629
433	17063	2594
434	17107	2556
435	17150	2517
436	17189	2478
437	17226	2438
438	17263	2398
439	17299	2359
440	17336	2319
441	17372	2279
442	17409	2239
443	17445	2200
444	17482	2160
445	17518	2121
446	17554	2081
447	17591	2041
448	17627	2002
449	17666	1962
450	17702	1923
451	17739	1883
452	17775	1844
453	17811	1804
454	17847	1765
455	17883	1725
456	17919	1686
457	17955	1646
458	17991	1607
459	18027	1567
460	18065	1528
461	18102	1488
462	18146	1450
463	18184	1410
464	18221	1371
465	18257	1332
466	18292	1292
467	18328	1253
468	18364	1213
469	18401	1174
470	18437	1135
471	18474	1095
472	18510	1056
473	18547	1017
474	18592	978
475	18643	939
476	18681	900
477	18717	861
478	18753	822
479	18789	782
480	18832	743
481	18869	704
482	18907	665
483	18942	626
484	18978	586
485	19015	547
486	19051	508
487	19087	469
488	19124	430
489	19164	391
490	19202	351
491	19238	312
492	19277	273
493	19313	234
494	19350	195
495	19387	156
496	19424	117
497	19459	78
498	19495	39
499	19531	0
